merchant_id,risk_label,composite_risk_score
RDS-00000,0,0.0
RDS-00001,0,0.12
RDS-00002,1,0.25
RDS-00003,0,0.0
RDS-00004,1,0.35
RDS-00005,0,0.0
RDS-00006,1,0.22
RDS-00007,1,0.3
RDS-00008,1,0.3
RDS-00009,1,0.27
RDS-00010,0,0.15
RDS-00011,0,0.0
RDS-00012,0,0.1
RDS-00013,0,0.12
RDS-00014,0,0.1
RDS-00015,1,0.42
RDS-00016,0,0.15
RDS-00017,1,0.3
RDS-00018,2,0.65
RDS-00019,0,0.1
RDS-00020,1,0.27
RDS-00021,0,0.15
RDS-00022,1,0.27
RDS-00023,1,0.27
RDS-00024,0,0.15
RDS-00025,1,0.42
RDS-00026,0,0.0
RDS-00027,1,0.25
RDS-00028,0,0.0
RDS-00029,0,0.0
RDS-00030,0,0.15
RDS-00031,0,0.15
RDS-00032,0,0.1
RDS-00033,1,0.22
RDS-00034,1,0.25
RDS-00035,0,0.0
RDS-00036,0,0.12
RDS-00037,3,0.77
RDS-00038,3,0.77
RDS-00039,0,0.15
RDS-00040,1,0.27
RDS-00041,0,0.15
RDS-00042,1,0.37
RDS-00043,1,0.22
RDS-00044,0,0.12
RDS-00045,0,0.12
RDS-00046,2,0.52
RDS-00047,1,0.27
RDS-00048,0,0.0
RDS-00049,0,0.0
RDS-00050,0,0.15
RDS-00051,0,0.0
RDS-00052,0,0.12
RDS-00053,2,0.52
RDS-00054,0,0.0
RDS-00055,0,0.15
RDS-00056,1,0.25
RDS-00057,0,0.1
RDS-00058,0,0.12
RDS-00059,0,0.0
RDS-00060,0,0.15
RDS-00061,1,0.22
RDS-00062,0,0.0
RDS-00063,0,0.15
RDS-00064,1,0.27
RDS-00065,0,0.12
RDS-00066,0,0.12
RDS-00067,1,0.37
RDS-00068,0,0.12
RDS-00069,1,0.42
RDS-00070,1,0.42
RDS-00071,0,0.12
RDS-00072,0,0.0
RDS-00073,2,0.55
RDS-00074,1,0.25
RDS-00075,1,0.4
RDS-00076,1,0.27
RDS-00077,1,0.25
RDS-00078,0,0.15
RDS-00079,0,0.1
RDS-00080,1,0.27
RDS-00081,0,0.15
RDS-00082,2,0.55
RDS-00083,0,0.15
RDS-00084,1,0.25
RDS-00085,0,0.0
RDS-00086,0,0.1
RDS-00087,0,0.12
RDS-00088,1,0.22
RDS-00089,1,0.27
RDS-00090,0,0.0
RDS-00091,1,0.27
RDS-00092,0,0.0
RDS-00093,1,0.22
RDS-00094,0,0.12
RDS-00095,2,0.52
RDS-00096,1,0.4
RDS-00097,0,0.15
RDS-00098,2,0.65
RDS-00099,2,0.65
RDS-00100,0,0.15
RDS-00101,0,0.0
RDS-00102,1,0.22
RDS-00103,0,0.15
RDS-00104,2,0.55
RDS-00105,0,0.1
RDS-00106,0,0.15
RDS-00107,1,0.22
RDS-00108,0,0.0
RDS-00109,1,0.3
RDS-00110,0,0.15
RDS-00111,1,0.37
RDS-00112,1,0.27
RDS-00113,1,0.37
RDS-00114,1,0.27
RDS-00115,0,0.0
RDS-00116,0,0.12
RDS-00117,1,0.27
RDS-00118,2,0.52
RDS-00119,1,0.27
RDS-00120,2,0.55
RDS-00121,1,0.25
RDS-00122,0,0.0
RDS-00123,1,0.22
RDS-00124,1,0.25
RDS-00125,1,0.3
RDS-00126,0,0.12
RDS-00127,0,0.0
RDS-00128,1,0.45
RDS-00129,0,0.0
RDS-00130,1,0.3
RDS-00131,0,0.0
RDS-00132,0,0.15
RDS-00133,1,0.32
RDS-00134,0,0.15
RDS-00135,1,0.25
RDS-00136,2,0.55
RDS-00137,0,0.1
RDS-00138,0,0.15
RDS-00139,0,0.12
RDS-00140,1,0.22
RDS-00141,0,0.15
RDS-00142,1,0.27
RDS-00143,0,0.12
RDS-00144,3,0.75
RDS-00145,0,0.0
RDS-00146,1,0.4
RDS-00147,0,0.0
RDS-00148,1,0.35
RDS-00149,0,0.0
RDS-00150,0,0.0
RDS-00151,3,0.7
RDS-00152,1,0.3
RDS-00153,0,0.15
RDS-00154,0,0.0
RDS-00155,0,0.12
RDS-00156,0,0.15
RDS-00157,0,0.0
RDS-00158,0,0.12
RDS-00159,0,0.1
RDS-00160,0,0.15
RDS-00161,1,0.22
RDS-00162,3,0.77
RDS-00163,1,0.27
RDS-00164,1,0.22
RDS-00165,0,0.12
RDS-00166,0,0.15
RDS-00167,0,0.12
RDS-00168,0,0.15
RDS-00169,0,0.0
RDS-00170,0,0.0
RDS-00171,0,0.15
RDS-00172,0,0.0
RDS-00173,2,0.65
RDS-00174,0,0.15
RDS-00175,0,0.0
RDS-00176,2,0.65
RDS-00177,0,0.0
RDS-00178,0,0.0
RDS-00179,0,0.0
RDS-00180,1,0.4
RDS-00181,3,0.82
RDS-00182,0,0.12
RDS-00183,2,0.55
RDS-00184,1,0.27
RDS-00185,1,0.22
RDS-00186,1,0.35
RDS-00187,0,0.12
RDS-00188,0,0.15
RDS-00189,0,0.0
RDS-00190,0,0.12
RDS-00191,2,0.62
RDS-00192,0,0.15
RDS-00193,0,0.0
RDS-00194,0,0.0
RDS-00195,0,0.0
RDS-00196,0,0.0
RDS-00197,1,0.42
RDS-00198,1,0.25
RDS-00199,1,0.3
RDS-00200,2,0.65
RDS-00201,0,0.0
RDS-00202,0,0.15
RDS-00203,1,0.3
RDS-00204,0,0.0
RDS-00205,0,0.1
RDS-00206,1,0.4
RDS-00207,1,0.27
RDS-00208,1,0.22
RDS-00209,0,0.0
RDS-00210,1,0.22
RDS-00211,1,0.25
RDS-00212,0,0.12
RDS-00213,3,0.77
RDS-00214,1,0.27
RDS-00215,0,0.0
RDS-00216,1,0.25
RDS-00217,0,0.0
RDS-00218,0,0.0
RDS-00219,0,0.15
RDS-00220,0,0.15
RDS-00221,0,0.0
RDS-00222,1,0.42
RDS-00223,0,0.15
RDS-00224,2,0.55
RDS-00225,1,0.25
RDS-00226,2,0.52
RDS-00227,0,0.0
RDS-00228,0,0.12
RDS-00229,0,0.0
RDS-00230,1,0.37
RDS-00231,2,0.52
RDS-00232,0,0.0
RDS-00233,0,0.1
RDS-00234,1,0.27
RDS-00235,1,0.37
RDS-00236,1,0.42
RDS-00237,0,0.12
RDS-00238,1,0.37
RDS-00239,1,0.25
RDS-00240,1,0.42
RDS-00241,1,0.45
RDS-00242,0,0.15
RDS-00243,1,0.3
RDS-00244,0,0.0
RDS-00245,1,0.3
RDS-00246,1,0.27
RDS-00247,1,0.25
RDS-00248,0,0.15
RDS-00249,1,0.4
RDS-00250,0,0.0
RDS-00251,1,0.42
RDS-00252,0,0.12
RDS-00253,0,0.0
RDS-00254,0,0.1
RDS-00255,0,0.0
RDS-00256,2,0.65
RDS-00257,0,0.12
RDS-00258,0,0.15
RDS-00259,0,0.0
RDS-00260,1,0.42
RDS-00261,2,0.62
RDS-00262,0,0.15
RDS-00263,2,0.67
RDS-00264,2,0.65
RDS-00265,1,0.3
RDS-00266,1,0.37
RDS-00267,2,0.55
RDS-00268,1,0.3
RDS-00269,1,0.4
RDS-00270,1,0.25
RDS-00271,1,0.25
RDS-00272,2,0.57
RDS-00273,0,0.12
RDS-00274,1,0.27
RDS-00275,1,0.3
RDS-00276,0,0.1
RDS-00277,1,0.27
RDS-00278,0,0.12
RDS-00279,0,0.12
RDS-00280,0,0.0
RDS-00281,0,0.15
RDS-00282,0,0.15
RDS-00283,0,0.0
RDS-00284,0,0.15
RDS-00285,0,0.1
RDS-00286,2,0.52
RDS-00287,0,0.0
RDS-00288,0,0.15
RDS-00289,0,0.15
RDS-00290,0,0.1
RDS-00291,0,0.1
RDS-00292,1,0.2
RDS-00293,1,0.25
RDS-00294,0,0.15
RDS-00295,0,0.0
RDS-00296,2,0.47
RDS-00297,0,0.15
RDS-00298,0,0.0
RDS-00299,0,0.0
RDS-00300,0,0.1
RDS-00301,2,0.67
