source_id,target_id,edge_type,weight,timestamp
MTE-0000,CUST-00366,merchant_customer,0.687,2024-04-15
MTE-0000,CUST-00367,merchant_customer,0.596,2024-11-22
MTE-0000,CUST-00368,merchant_customer,0.238,2024-01-29
MTE-0000,CUST-00369,merchant_customer,0.233,2024-11-13
MTE-0000,CUST-00370,merchant_customer,0.128,2024-03-27
MTE-0000,CUST-00371,merchant_customer,0.686,2024-10-31
MTE-0000,CUST-00372,merchant_customer,0.948,2024-05-14
MTE-0000,CUST-00373,merchant_customer,0.801,2024-03-17
MTE-0000,CUST-00374,merchant_customer,0.929,2024-03-24
MTE-0000,CUST-00375,merchant_customer,0.965,2024-03-26
MTE-0000,SUP-029,merchant_supplier,0.326,2024-07-05
MTE-0000,SUP-030,merchant_supplier,0.789,2024-05-23
MTE-0000,FTD-0523,peer_to_peer,0.198,2024-02-23
MTE-0000,AUT-0348,peer_to_peer,0.198,2024-01-02
MTE-0000,BANK-SBI,merchant_bank,0.93,2024-01-01
MTE-0000,SRV-0397,upi_link,0.645,2024-07-11
MTE-0000,LENDER-MUDRA-001,loan_link,0.0135,2024-01-01
KSK-0001,CUST-01057,merchant_customer,0.443,2024-06-18
KSK-0001,CUST-01058,merchant_customer,0.818,2024-05-21
KSK-0001,CUST-01059,merchant_customer,0.262,2024-10-28
KSK-0001,CUST-01060,merchant_customer,0.839,2024-01-29
KSK-0001,CUST-01061,merchant_customer,0.632,2024-12-16
KSK-0001,CUST-01062,merchant_customer,0.619,2024-05-08
KSK-0001,CUST-01063,merchant_customer,0.256,2024-11-21
KSK-0001,CUST-01064,merchant_customer,0.204,2024-02-15
KSK-0001,CUST-01065,merchant_customer,0.369,2024-11-05
KSK-0001,CUST-01066,merchant_customer,0.321,2024-05-29
KSK-0001,CUST-01067,merchant_customer,0.327,2024-11-24
KSK-0001,CUST-01068,merchant_customer,0.762,2024-05-08
KSK-0001,CUST-01069,merchant_customer,0.776,2024-10-27
KSK-0001,CUST-01070,merchant_customer,0.4,2024-10-17
KSK-0001,CUST-01071,merchant_customer,0.531,2024-07-02
KSK-0001,CUST-01072,merchant_customer,0.394,2024-07-24
KSK-0001,CUST-01073,merchant_customer,0.284,2024-08-18
KSK-0001,CUST-01074,merchant_customer,0.555,2024-10-01
KSK-0001,CUST-01075,merchant_customer,0.524,2024-01-18
KSK-0001,CUST-01076,merchant_customer,0.301,2024-09-02
KSK-0001,SUP-038,merchant_supplier,0.752,2024-06-25
KSK-0001,SUP-039,merchant_supplier,0.957,2024-10-27
